Lineage;Fam;Taxogroup;Taxo1;Last;SizeMin;SizeMax;Cover;Shape;Spicule;Symmetry;Polarity;Colony;Motility;Chloroplast;Plast_Origin;Ingestion;Symbiontic;Zoosporic_Parasite;Cyst_Spore
Eukaryota|Archaeplastida|Rhodophyta|Florideophyceae|Ceramiales|Dasyaceae|Heterosiphonia|Heterosiphonia+plumosa;Archaeplastids;Rhodophyta;Plant;Heterosiphonia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
Eukaryota|Archaeplastida|Rhodophyta|Florideophyceae|Ceramiales|Dasyaceae|Rhodoptilum|Rhodoptilum+plumosum;Archaeplastids;Rhodophyta;Plant;Rhodoptilum;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
Eukaryota|Archaeplastida|Rhodophyta|Florideophyceae|Ceramiales|Delesseriaceae;Archaeplastids;Rhodophyta;Plant;Delesseriaceae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
Eukaryota|Archaeplastida|Rhodophyta|Florideophyceae|Ceramiales|Delesseriaceae|Cryptopleura|Cryptopleura+ramosa;Archaeplastids;Rhodophyta;Plant;Cryptopleura;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
Eukaryota|Archaeplastida|Rhodophyta|Florideophyceae|Ceramiales|Delesseriaceae|Hypoglossum|Hypoglossum+hypoglossoides;Archaeplastids;Rhodophyta;Plant;Hypoglossum;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
Eukaryota|Archaeplastida|Rhodophyta|Florideophyceae|Ceramiales|Delesseriaceae|Phycodrys|Phycodrys+rubens;Archaeplastids;Rhodophyta;Plant;Phycodrys;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
Eukaryota|Archaeplastida|Rhodophyta|Florideophyceae|Ceramiales|Delesseriaceae|Sorella|Sorella+repens;Archaeplastids;Rhodophyta;Plant;Sorella;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
Eukaryota|Archaeplastida|Rhodophyta|Florideophyceae|Ceramiales|Rhodomelaceae;Archaeplastids;Rhodophyta;Plant;Rhodomelaceae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
Eukaryota|Archaeplastida|Rhodophyta|Florideophyceae|Ceramiales|Rhodomelaceae|Boergeseniella;Archaeplastids;Rhodophyta;Plant;Boergeseniella;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
Eukaryota|Archaeplastida|Rhodophyta|Florideophyceae|Ceramiales|Rhodomelaceae|Bostrychia|Bostrychia+moritziana;Archaeplastids;Rhodophyta;Plant;Bostrychia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
Eukaryota|Archaeplastida|Rhodophyta|Florideophyceae|Ceramiales|Rhodomelaceae|Chondria|Chondria+capillaris;Archaeplastids;Rhodophyta;Plant;Chondria;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
Eukaryota|Archaeplastida|Rhodophyta|Florideophyceae|Ceramiales|Rhodomelaceae|Chondria|Chondria+dasyphylla;Archaeplastids;Rhodophyta;Plant;Chondria;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
Eukaryota|Archaeplastida|Rhodophyta|Florideophyceae|Ceramiales|Rhodomelaceae|Chondria|Chondria+sp.;Archaeplastids;Rhodophyta;Plant;Chondria;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
Eukaryota|Archaeplastida|Rhodophyta|Florideophyceae|Ceramiales|Rhodomelaceae|Leptosiphonia|Leptosiphonia+schousboei;Archaeplastids;Rhodophyta;Plant;Leptosiphonia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
Eukaryota|Archaeplastida|Rhodophyta|Florideophyceae|Ceramiales|Rhodomelaceae|Neosiphonia|Neosiphonia+sp.;Archaeplastids;Rhodophyta;Plant;Neosiphonia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
Eukaryota|Archaeplastida|Rhodophyta|Florideophyceae|Ceramiales|Rhodomelaceae|Osmundea|Osmundea+hybrida;Archaeplastids;Rhodophyta;Plant;Osmundea;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
Eukaryota|Archaeplastida|Rhodophyta|Florideophyceae|Ceramiales|Rhodomelaceae|Osmundea|Osmundea+pinnatifida;Archaeplastids;Rhodophyta;Plant;Osmundea;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
Eukaryota|Archaeplastida|Rhodophyta|Florideophyceae|Ceramiales|Rhodomelaceae|Polysiphonia;Archaeplastids;Rhodophyta;Plant;Polysiphonia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
Eukaryota|Archaeplastida|Rhodophyta|Florideophyceae|Ceramiales|Rhodomelaceae|Polysiphonia|Polysiphonia+aterrima;Archaeplastids;Rhodophyta;Plant;Polysiphonia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
Eukaryota|Archaeplastida|Rhodophyta|Florideophyceae|Ceramiales|Rhodomelaceae|Polysiphonia|Polysiphonia+brodiei;Archaeplastids;Rhodophyta;Plant;Polysiphonia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
Eukaryota|Archaeplastida|Rhodophyta|Florideophyceae|Ceramiales|Rhodomelaceae|Polysiphonia|Polysiphonia+denudata;Archaeplastids;Rhodophyta;Plant;Polysiphonia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
Eukaryota|Archaeplastida|Rhodophyta|Florideophyceae|Ceramiales|Rhodomelaceae|Polysiphonia|Polysiphonia+elongata;Archaeplastids;Rhodophyta;Plant;Polysiphonia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
Eukaryota|Archaeplastida|Rhodophyta|Florideophyceae|Ceramiales|Rhodomelaceae|Polysiphonia|Polysiphonia+nigra;Archaeplastids;Rhodophyta;Plant;Polysiphonia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
Eukaryota|Archaeplastida|Rhodophyta|Florideophyceae|Ceramiales|Rhodomelaceae|Polysiphonia|Polysiphonia+paniculata;Archaeplastids;Rhodophyta;Plant;Polysiphonia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
Eukaryota|Archaeplastida|Rhodophyta|Florideophyceae|Ceramiales|Rhodomelaceae|Polysiphonia|Polysiphonia+polyspora;Archaeplastids;Rhodophyta;Plant;Polysiphonia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
Eukaryota|Archaeplastida|Rhodophyta|Florideophyceae|Ceramiales|Rhodomelaceae|Polysiphonia|Polysiphonia+schneideri;Archaeplastids;Rhodophyta;Plant;Polysiphonia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
Eukaryota|Archaeplastida|Rhodophyta|Florideophyceae|Ceramiales|Rhodomelaceae|Polysiphonia|Polysiphonia+scopulorum;Archaeplastids;Rhodophyta;Plant;Polysiphonia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
Eukaryota|Archaeplastida|Rhodophyta|Florideophyceae|Ceramiales|Rhodomelaceae|Polysiphonia|Polysiphonia+stricta;Archaeplastids;Rhodophyta;Plant;Polysiphonia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
Eukaryota|Archaeplastida|Rhodophyta|Florideophyceae|Ceramiales|Rhodomelaceae|Rhodomela|Rhodomela+confervoides;Archaeplastids;Rhodophyta;Plant;Rhodomela;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
Eukaryota|Archaeplastida|Rhodophyta|Florideophyceae|Ceramiales|Rhodomelaceae|Symphyocladia|Symphyocladia+linearis;Archaeplastids;Rhodophyta;Plant;Symphyocladia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
Eukaryota|Archaeplastida|Rhodophyta|Florideophyceae|Ceramiales|Rhodomelaceae|Vertebrata|Vertebrata+lanosa;Archaeplastids;Rhodophyta;Plant;Vertebrata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
